,Domain,Division,Class,Order,Family,Genus,Cell shape,Cell motility,Sampling ocean,Sampling regional sea,Sampling country,Sampling ecosystem,Isolation by,Sampling by,Deposit to rcc by,RCC medium,RCC temperature,RCC transfer period weeks,RCC light,Remark,Sampling date,Clonal,Axenic,Pure,Heterotrophic,Toxic,Symbiotic,Transformed,STRAIN ID,Latitude,Longitude,Sampling site,Sampling station,Isolation method,Identification method,Isolation medium,Purification by,Purification method,Sampling depth (m),Contaminant type,Sampling cruise,Sampling temperature,Identification by,Cell assemblage,Date entered catalog,Host type,Host genus,Sampling substrate,Isolation growth temperature,Clade,Deposit to RCC date,Sampling water type
RCC1253,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,,Japan,pelagic,K. Hagino,,Caen_A,K/2,17.00,4.00,,Transcriptome planned as part of Oceanomics. Morphotype O. Mitochondrial genotype Beta.,"Monday, April 22, 2002",Yes,No,Yes,No,No,No,No,RCC1253,43.22,141.02,Japanese coast,,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1254,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Alboran Sea,,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Alpha.,"Friday, October 1, 1999",Yes,No,Yes,No,No,No,No,RCC1254,37.17,-1.22,,56,Micropipette (1 cell),,K/5 (ian),,,,,MTPII-MATER,,,,,,,,,,,
RCC1255,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Norway,pelagic,Paasche E.,Paasche E.,Caen_A,K/2,17.00,4.00,,Non-calcifying. Mitochondrial genotype Beta.,"Tuesday, May 12, 1959",No,No,Yes,No,No,No,No,RCC1255,59.5,10.6,Norwegian coast,Oslo Fjord,,,,,,,,,,E. Paasche,,,,,,,,,
RCC1256,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Iceland,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Beta.,"Thursday, July 1, 1999",Yes,No,Yes,No,No,No,No,RCC1256,63.45,-20.23,Icelandic coast,Vestmannaeyjar,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1258,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Portugal,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Transcriptome sequence done by GATC (2013). Morphotype A. Mitochondrial genotype Alpha.,"Monday, June 1, 1998",Yes,No,Yes,No,No,No,No,RCC1258,40.58,-10.0,Portuguese coast,,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1259,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,Gulf of Maine,USA,pelagic,Skinner T.,Holligan P.,Caen_A,K/2,17.00,4.00,,Non-calcifying. Mitochondrial genotype Beta.,"Saturday, September 1, 1990",No,No,Yes,No,No,No,No,RCC1259,42.5,-69.0,,,,,,,,5,,,,,,,,,,,,,
RCC1260,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,Sargasso Sea,Bermuda,pelagic,Guillard R.,Guillard R.,Caen_A,K/2,17.00,4.00,,Non-calcifying. Mitochondrial genotype Alpha.,"Wednesday, April 20, 1960",No,No,Yes,No,No,No,No,RCC1260,32.17,-64.5,,,,,,,,,,,,,,,,,,,,,
RCC1261,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Balearic Sea,Spain,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Alpha.,"Thursday, April 1, 1999",Yes,No,Yes,No,No,No,No,RCC1261,42.27,3.3,Spanish coast,Cadaques,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1262,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Ireland,pelagic,Probert I.,Von Dassow P.,I. Probert,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Beta.,"Wednesday, August 1, 2007",Yes,No,Yes,No,No,No,No,RCC1262,49.5,-10.5,,10,Micropipette (1 cell),,K/5 (ian),,,,,Belgica07,,,,,,,,,,,
RCC1264,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Ireland,pelagic,Probert I.,Von Dassow P.,I. Probert,K/2,17.00,4.00,,,"Wednesday, August 1, 2007",Yes,No,Yes,No,No,No,No,RCC1264,49.5,-10.5,,10,Micropipette (1 cell),,K/5 (ian),,,,,Belgica07,,,,,,,,,,,
RCC1265,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,UK,pelagic,Probert I.,Von Dassow P.,I. Probert,K/2,17.00,4.00,,,"Wednesday, August 1, 2007",Yes,No,Yes,No,No,No,No,RCC1265,49.58,-8.42,,8,Micropipette (1 cell),,K/5 (ian),,,,,Belgica07,,,,,,,,,,,
RCC1266,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Ireland,pelagic,Probert I.,Von Dassow P.,I. Probert,K/2,17.00,16.00,25,Morphotype A. Mitochondrial genotype Beta.,"Wednesday, August 1, 2007",Yes,No,Yes,No,No,No,No,RCC1266,49.5,-10.5,,10,Micropipette (1 cell),,K/5 (ian),,,,,Belgica07,,,,,,,,,,,
RCC1267,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Ireland,pelagic,Probert I.,Von Dassow P.,I. Probert,K/2,17.00,16.00,25,,"Wednesday, August 1, 2007",Yes,No,Yes,No,No,No,No,RCC1267,49.5,-10.5,,10,Micropipette (1 cell),,K/5 (ian),,,,,Belgica07,,,,,,,,,,,
RCC1268,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Ireland,pelagic,Probert I.,Von Dassow P.,I. Probert,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Beta.,"Wednesday, August 1, 2007",Yes,No,Yes,No,No,No,No,RCC1268,49.5,-10.5,,10,Micropipette (1 cell),,K/5 (ian),,,,,Belgica07,,,,,,,,,,,
RCC1269,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Ireland,pelagic,Probert I.,Von Dassow P.,I. Probert,K/2,17.00,16.00,25,,"Wednesday, August 1, 2007",Yes,No,Yes,No,No,No,No,RCC1269,49.5,-10.5,,10,Micropipette (1 cell),,K/5 (ian),,,,,Belgica07,,,,,,,,,,,
RCC1270,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Ireland,pelagic,Probert I.,Von Dassow P.,I. Probert,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Beta.,"Wednesday, August 1, 2007",Yes,No,Yes,No,No,No,No,RCC1270,49.5,-10.5,,10,Micropipette (1 cell),,K/5 (ian),,,,,Belgica07,,,,,,,,,,,
RCC1271,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Ireland,pelagic,Probert I.,Von Dassow P.,I. Probert,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Beta.,"Wednesday, August 1, 2007",Yes,No,Yes,No,No,No,No,RCC1271,51.33,-10.48,,11,Micropipette (1 cell),,K/5 (ian),,,,,Belgica07,,,,,,,,,,,
RCC1272,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Ireland,pelagic,Probert I.,Von Dassow P.,I. Probert,K/2,17.00,4.00,,Transcriptome sequence done by GATC (2013). Morphotype A. Mitochondrial genotype Beta.,"Wednesday, August 1, 2007",Yes,No,Yes,No,No,No,No,RCC1272,49.5,-10.5,,10,Micropipette (1 cell),,K/5 (ian),,,,,Belgica07,,,,,,,,,,,
RCC1273,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Ireland,pelagic,Probert I.,Von Dassow P.,I. Probert,K/2,17.00,4.00,,Originally isolated in non-motile calcifying phase but complete subsequent transition to flagellate (non-calcifying) phase.,"Wednesday, August 1, 2007",Yes,No,Yes,No,No,No,No,RCC1273,51.33,-10.48,,11,Micropipette (1 cell),,K/5 (ian),,,,,Belgica07,,,,,,,,,,,
RCC1275,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Ireland,pelagic,Probert I.,Von Dassow P.,Caen_B,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Beta.,"Wednesday, August 1, 2007",Yes,No,Yes,No,No,No,No,RCC1275,49.5,-10.5,,10,Micropipette (1 cell),,K/5 (ian),,,,,Belgica07,,,,,,,,,,,
RCC1276,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Ireland,pelagic,Probert I.,Von Dassow P.,I. Probert,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Beta.,"Wednesday, August 1, 2007",Yes,No,Yes,No,No,No,No,RCC1276,50.5,-10.5,,11,Micropipette (1 cell),,K/5 (ian),,,,,Belgica07,,,,,,,,,,,
RCC1277,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Ireland,pelagic,Probert I.,Von Dassow P.,I. Probert,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Beta.,"Wednesday, August 1, 2007",Yes,No,Yes,No,No,No,No,RCC1277,49.5,-10.5,,10,Micropipette (1 cell),,K/5 (ian),,,,,Belgica07,,,,,,,,,,,
RCC1322,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Alboran Sea,,pelagic,Probert I.,,Caen_A,K/2,17.00,12.00,25,Morphotype A. Mitochondrial genotype Alpha.,"Friday, May 1, 1998",Yes,No,Yes,No,No,No,No,RCC1322,36.25,-1.58,,,Micropipette (1 cell),,K/5 (ian),,,,,MATER,,,,,,,,,,,
RCC1710,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,,Japan,pelagic,K. Hagino,Hagino K.,K. Hagino,K/2,17.00,16.00,25,Morphotype A. Mitochondrial genotype Alpha.,"Thursday, April 26, 2007",No,No,Yes,No,No,No,No,RCC1710,32.42,128.67,Japanese coast,,Micropipette (1 cell),,MNK,,,,,,,,,,,,,,,,
RCC1726,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Atlantic Ocean,North Atlantic,International waters,pelagic,L.Jardillier,,L. Jardillier,K,20.00,4.00,100,,"Saturday, June 23, 2007",No,No,Yes,No,No,No,No,RCC1726,48.98,-16.52,,PAP,filtration,sequence,K Jardillier,P.Gourvil,,15,,CE716 2007,,,clumps,,,,,,,,
RCC1731,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,,Pacific Ocean,South Pacific,Ecuador,,?,Polans L.,PLY,K/2,17.00,12.00,30,Calcifying version of CCMP1516,"Friday, July 5, 1991",No,No,Yes,No,No,No,No,RCC1731,-2.67,-82.72,,,,,,,,0,,,,,,,,,,,,,
RCC1744,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,round,,Atlantic Ocean,English Channel,France,coastal,Le Gall F.,,,K/2,17.00,12.00,30,,"Tuesday, July 24, 2007",No,No,Yes,No,No,No,No,RCC1744,48.75,-3.95,Britanny coast,Roscoff Astan,No Filtration,sequence,JM/10,F.Le Gall,Dilution (10µl of SW in 1 ml ofJM/10 medium) in plates 48wells,0,,,,,,,,,,,,,
RCC1745,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,round,,Atlantic Ocean,English Channel,France,coastal,Le Gall F.,,,K/2,17.00,12.00,30,,"Tuesday, July 24, 2007",No,No,Yes,No,No,No,No,RCC1745,48.75,-3.95,Britanny coast,Roscoff Astan,No Filtration,sequence,JM/10,F.Le Gall,Dilution (10µl of SW in 1 ml ofJM/10 medium) in plates 48wells,0,,,,,,,,,,,,,
RCC1746,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,flagellated,Atlantic Ocean,English Channel,France,coastal,Le Gall F.,,,K/2,17.00,12.00,30,,"Tuesday, July 24, 2007",No,No,Yes,No,No,No,No,RCC1746,48.75,-3.95,Britanny coast,Roscoff Astan,No Filtration,sequence,JM/10,F.Le Gall,Dilution (10µl of SW in 1 ml ofJM/10 medium) in plates 48wells,0,,,,,,,,,,,,,
RCC1747,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,flagellated,Atlantic Ocean,English Channel,France,coastal,Le Gall F.,,,K/2,17.00,12.00,30,,"Tuesday, July 24, 2007",No,No,Yes,No,No,No,No,RCC1747,48.75,-3.95,Britanny coast,Roscoff Astan,No Filtration,sequence,JM/10,F.Le Gall,Dilution (10µl of SW in 1 ml ofJM/10 medium) in plates 48wells,0,,,,,,,,,,,,,
RCC1752,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,pear-shaped,,Atlantic Ocean,English Channel,France,coastal,Le Gall F.,,,K/2,17.00,12.00,30,,"Wednesday, July 18, 2007",No,No,Yes,No,No,No,No,RCC1752,48.72,-3.97,Britanny coast,Roscoff Estacade,No Filtration,sequence,Bold/10,F.Le Gall,Serial dilution,0,,,,,,,,,,,,,
RCC1753,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,flagellated,Atlantic Ocean,English Channel,France,coastal,Le Gall F.,,,K,15.00,3.00,45,,"Wednesday, July 18, 2007",No,No,Yes,No,No,No,No,RCC1753,48.72,-3.97,Britanny coast,Roscoff Estacade,No Filtration,sequence,Bold/10,F.Le Gall,Serial dilution,0,,,,,,,,,,,,,
RCC1754,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Atlantic Ocean,English Channel,France,coastal,Le Gall F.,,,K/2,17.00,12.00,30,Non-calcifying motile life cycle stage.,"Wednesday, July 18, 2007",No,No,Yes,No,No,No,No,RCC1754,48.72,-3.97,Britanny coast,Roscoff Estacade,No Filtration,sequence,JM/10,F.Le Gall,Serial dilution,0,,,,,,,,,,,,,
RCC1756,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,flagellated,Atlantic Ocean,English Channel,France,coastal,Le Gall F.,,,K/2,17.00,12.00,30,,"Wednesday, July 18, 2007",No,No,Yes,No,No,No,No,RCC1756,48.72,-3.97,Britanny coast,Roscoff Estacade,No Filtration,sequence,JM/10,F.Le Gall,Serial dilution,0,,,,,,,,,,,,,
RCC1758,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,flagellated,Atlantic Ocean,English Channel,France,coastal,Le Gall F.,,,K/2,17.00,12.00,30,,"Tuesday, July 24, 2007",No,No,Yes,No,No,No,No,RCC1758,48.75,-3.95,Britanny coast,Roscoff Astan,No Filtration,sequence,JM/10,F.Le Gall,Dilution (10µl of SW in 1 ml ofJM/10 medium) in plates 48wells,0,,,,,,,,,,,,,
RCC1759,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Atlantic Ocean,English Channel,France,coastal,Le Gall F.,,,K,15.00,3.00,45,,"Tuesday, July 24, 2007",No,No,Yes,No,No,No,No,RCC1759,48.75,-3.95,Britanny coast,Roscoff Astan,No Filtration,sequence,JM/10,F.Le Gall,Dilution (10µl of SW in 1 ml ofJM/10 medium) in plates 48wells,0,,,,,,,,,,,,,
RCC1760,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,round,,Atlantic Ocean,English Channel,France,coastal,Le Gall F.,,,K/2,17.00,12.00,30,,"Tuesday, July 24, 2007",No,No,Yes,No,No,No,No,RCC1760,48.75,-3.95,Britanny coast,Roscoff Astan,No Filtration,sequence,JM/10,F.Le Gall,Dilution (10µl of SW in 1 ml ofJM/10 medium) in plates 48wells,0,,,,,,,,,,,,,
RCC1762,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,flagellated,Atlantic Ocean,English Channel,France,coastal,Le Gall F.,,,K/2,17.00,12.00,30,,"Tuesday, July 24, 2007",No,No,Yes,No,No,No,No,RCC1762,48.75,-3.95,Britanny coast,Roscoff Astan,No Filtration,sequence,Bold/10,F.Le Gall,Dilution (10µl of SW in 1 ml of Bold/10 medium) in plates 48wells,0,,,,,,,,,,,,,
RCC1763,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,flagellated,Atlantic Ocean,English Channel,France,coastal,Le Gall F.,,,K,15.00,3.00,45,,"Tuesday, July 24, 2007",No,No,Yes,No,No,No,No,RCC1763,48.75,-3.95,Britanny coast,Roscoff Astan,No Filtration,sequence,Bold/10,F.Le Gall,Dilution (10µl of SW in 1 ml of Bold/10 medium) in plates 48wells,0,,,,,,,,,,,,,
RCC1764,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,,flagellated,Atlantic Ocean,English Channel,France,coastal,Le Gall F.,,,K,15.00,3.00,45,,"Tuesday, July 24, 2007",No,No,Yes,No,No,No,No,RCC1764,48.75,-3.95,Britanny coast,Roscoff Astan,No Filtration,sequence,Bold/10,F.Le Gall,Dilution (10µl of SW in 1 ml of Bold/10 medium) in plates 48wells,0,,,,,,,,,,,,,
RCC1812,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,,pelagic,I. Probert,M. Bendif,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1812,39.1,5.35,,A,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1813,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,Cyprus,pelagic,I. Probert,Bendif M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1813,33.62,32.65,,C,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1814,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,Cyprus,pelagic,I. Probert,Bendif M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1814,33.62,32.65,,C,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1815,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,Cyprus,pelagic,I. Probert,Bendif M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1815,33.62,32.65,,C,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1816,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,Cyprus,pelagic,I. Probert,Bendif M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1816,33.62,32.65,,C,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1817,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,Cyprus,pelagic,I. Probert,Bendif M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1817,33.62,32.65,,C,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1818,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,Cyprus,pelagic,I. Probert,Bendif M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1818,33.62,32.65,,C,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1819,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,Cyprus,pelagic,I. Probert,Bendif M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1819,33.62,32.65,,C,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1820,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,Cyprus,pelagic,I. Probert,Bendif M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1820,33.62,32.65,,C,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1821,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,Cyprus,pelagic,I. Probert,Bendif M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1821,33.62,32.65,,C,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1822,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,Cyprus,pelagic,I. Probert,Bendif M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1822,33.62,32.65,,C,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1823,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,Cyprus,pelagic,I. Probert,Bendif M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1823,33.62,32.65,,C,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1824,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,Cyprus,pelagic,I. Probert,Bendif M.,I. Probert,K/2,17.00,5.00,20,Transcriptome sequence done by GATC (2013).,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1824,33.62,32.65,,C,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1825,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,Cyprus,pelagic,I. Probert,Bendif M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1825,33.62,32.65,,C,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1826,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,Cyprus,pelagic,I. Probert,Bendif M.,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1826,33.62,32.65,,C,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1827,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,,pelagic,I. Probert,M. Bendif,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1827,39.1,5.35,,A,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1828,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,,pelagic,I. Probert,M. Bendif,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1828,39.1,5.35,,A,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1829,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,,pelagic,I. Probert,M. Bendif,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1829,39.1,5.35,,A,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1830,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,,pelagic,I. Probert,M. Bendif,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1830,39.1,5.35,,A,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
RCC1831,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,,,pelagic,I. Probert,M. Bendif,I. Probert,K/2,17.00,5.00,20,,"Monday, September 1, 2008",No,No,Yes,No,No,No,No,RCC1831,39.1,5.35,,A,Micropipette (1 cell),,K/2 (ian),,,,,BOUM,,I. Probert,,,,,,,,,
